category,type,product_group,brand,product_name,size_mm,size_inch,product_code,length,unit,mrp,selling_price,purchase_price,discount,image_url,is_active
Fittings,CPVC,CROSS-SOC,Astral,CROSS-SOC,,,M512110304,,pcs,433,433,,,,true
Fittings,CPVC,CROSS-SOC,Astral,CROSS-SOC,,,M512110317,,pcs,361,361,,,,true
Fittings,CPVC,NEW,Astral,NEW,,,M512112501,,pcs,83.5,83.5,,,,true
Fittings,CPVC,NEW,Astral,NEW,,,M512112502,,pcs,92,92,,,,true
Fittings,CPVC,NEW,Astral,NEW,,,M512112503,,pcs,141,141,,,,true
Fittings,CPVC,NEW,Astral,NEW,,,M512112504,,pcs,225,225,,,,true
Fittings,CPVC,NEW,Astral,NEW,,,M512112505,,pcs,326,326,,,,true
Fittings,CPVC,NEW,Astral,NEW,,,M512112506,,pcs,508,508,,,,true
Fittings,CPVC,6.5 X 2.5,Astral,6.5 X 2.5,,,A512112131,,pcs,616,616,,,,true
Fittings,CPVC,6.5 X 2.5,Astral,6.5 X 2.5,,,M512112133,,pcs,616,616,,,,true
Fittings,CPVC,6.5 X 2.5,Astral,6.5 X 2.5,,,M512112134,,pcs,616,616,,,,true
Fittings,CPVC,6.5 X 2.5,Astral,6.5 X 2.5,,,M512112139,,pcs,663,663,,,,true
Fittings,CPVC,6.5 X 2.5,Astral,6.5 X 2.5,,,M512112140,,pcs,638,638,,,,true
Fittings,CPVC,6.5 X 2.5,Astral,6.5 X 2.5,,,M512112146,,pcs,815,815,,,,true
Fittings,CPVC,6.5 X 2.5,Astral,6.5 X 2.5,,,M512112147,,pcs,1081,1081,,,,true
Fittings,CPVC,(IPS X CTS),Astral,(IPS X CTS),,,M5121117103,,pcs,18.5,18.5,,,,true
Fittings,CPVC,(IPS X CTS),Astral,(IPS X CTS),,,M5121117104,,pcs,27,27,,,,true
Fittings,CPVC,(IPS X CTS),Astral,(IPS X CTS),,,M5121117105,,pcs,53,53,,,,true
Fittings,CPVC,(IPS X CTS),Astral,(IPS X CTS),,,M5121117106,,pcs,70,70,,,,true
Fittings,CPVC,BUSH,Astral,BUSH,,,M512112101,,pcs,18,18,,,,true
Fittings,CPVC,BUSH,Astral,BUSH,,,M512112102,,pcs,24,24,,,,true
Fittings,CPVC,BUSH,Astral,BUSH,,,M512112103,,pcs,53,53,,,,true
Fittings,CPVC,BUSH,Astral,BUSH,,,M512112104,,pcs,81,81,,,,true
Fittings,CPVC,BUSH,Astral,BUSH,,,M512112105,,pcs,133,133,,,,true
Fittings,CPVC,BUSH,Astral,BUSH,,,M512112106,,pcs,237,237,,,,true
Fittings,CPVC,(IPS X CTS),Astral,(IPS X CTS),,,M512111914,,pcs,19.5,19.5,,,,true
Fittings,CPVC,(IPS X CTS),Astral,(IPS X CTS),,,M512111915,,pcs,38,38,,,,true
Fittings,CPVC,(IPS X CTS),Astral,(IPS X CTS),,,M512111916,,pcs,32.5,32.5,,,,true
Fittings,CPVC,(IPS X CTS),Astral,(IPS X CTS),,,M512111917,,pcs,58.5,58.5,,,,true
Fittings,CPVC,(IPS X CTS),Astral,(IPS X CTS),,,M512111918,,pcs,54,54,,,,true
Fittings,CPVC,(IPS X CTS),Astral,(IPS X CTS),,,M512111919,,pcs,51,51,,,,true
Fittings,CPVC,(IPS X CTS),Astral,(IPS X CTS),,,M512111920,,pcs,96.5,96.5,,,,true
Fittings,CPVC,(IPS X CTS),Astral,(IPS X CTS),,,M512111921,,pcs,89,89,,,,true
Fittings,CPVC,(IPS X CTS),Astral,(IPS X CTS),,,M512111922,,pcs,83.5,83.5,,,,true
Fittings,CPVC,(IPS X CTS),Astral,(IPS X CTS),,,M512111923,,pcs,58.5,58.5,,,,true
Fittings,CPVC,(IPS X CTS),Astral,(IPS X CTS),,,M512111924,,pcs,181,181,,,,true
Fittings,CPVC,(IPS X CTS),Astral,(IPS X CTS),,,M512111925,,pcs,164,164,,,,true
Fittings,CPVC,(IPS X CTS),Astral,(IPS X CTS),,,M512111926,,pcs,167,167,,,,true
Fittings,CPVC,(IPS X CTS),Astral,(IPS X CTS),,,M512111927,,pcs,181,181,,,,true
Fittings,CPVC,(IPS X CTS),Astral,(IPS X CTS),,,M512111928,,pcs,152,152,,,,true
Fittings,CPVC,BEND (L),Astral,BEND (L),,,M512113403,,pcs,485,485,,,,true
Fittings,CPVC,BEND (L),Astral,BEND (L),,,M512113404,,pcs,646,646,,,,true
Fittings,CPVC,BEND (L),Astral,BEND (L),,,M512113405,,pcs,754,754,,,,true
Fittings,CPVC,BEND (L),Astral,BEND (L),,,M512113406,,pcs,1186,1186,,,,true
Fittings,CPVC,FLG -SOC,Astral,FLG -SOC,,,M5128012702,,pcs,37,37,,,,true
Fittings,CPVC,FLG -SOC,Astral,FLG -SOC,,,M5128012703,,pcs,54,54,,,,true
Fittings,CPVC,HEX NIPPLE,Astral,HEX NIPPLE,,,M5128013902,,pcs,435,435,,,,true
Fittings,CPVC,HEX NIPPLE,Astral,HEX NIPPLE,,,M5128013903,,pcs,756,756,,,,true
Fittings,CPVC,NRV - SOC,Astral,NRV - SOC,,,M214002901,,pcs,15.5,15.5,,,,true
Fittings,CPVC,NRV - SOC,Astral,NRV - SOC,,,M214002902,,pcs,21,21,,,,true
Fittings,CPVC,END PLUG,Astral,END PLUG,,,M5121115403,,pcs,1275,1275,,,,true
Fittings,CPVC,END PLUG,Astral,END PLUG,,,M5121115404,,pcs,3374,3374,,,,true
Fittings,CPVC,END PLUG,Astral,END PLUG,,,M5121115405,,pcs,3950,3950,,,,true
Fittings,CPVC,END PLUG,Astral,END PLUG,,,M5121115406,,pcs,6204,6204,,,,true
Fittings,CPVC,WYE-STRAINER,Astral,WYE-STRAINER,,,M512110902,,pcs,146,146,,,,true
Fittings,CPVC,WYE-STRAINER,Astral,WYE-STRAINER,,,M512110903,,pcs,248,248,,,,true
Fittings,CPVC,WYE-STRAINER,Astral,WYE-STRAINER,,,M512110904,,pcs,396,396,,,,true
